method,pf,pm,td,detected,det_H25,det_H50,det_H100,mean_logBIR,max_logBIR,rep_id,job_id,scenario_id,block_id,rep_start,rep_end,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,c_liu_T2,c_class_roll,c_rrh_075,c_rrh_085,c_rrh_adaptive
RRH_FD_075,0.035634743875278395,0.9506995336442372,43,1,0,1,1,0.08300783643257285,0.516836187607618,7,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.0467706013363029,0.9480346435709527,43,1,0,1,1,0.0448927366897894,0.37230038503869434,7,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.042316258351893093,0.9513657561625583,43,1,0,1,1,0.04982425377926614,0.36953927994975544,7,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.031180400890868598,0.9673550966022652,22,1,1,1,1,-0.001640343584420101,0.2673546725777207,8,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.0378619153674833,0.9480346435709527,22,1,1,1,1,-0.001640343584420101,0.2673546725777207,8,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.044543429844097995,0.9467021985343105,22,1,1,1,1,-0.001184640321765809,0.26254414608371057,8,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.044543429844097995,0.9393737508327782,22,1,1,1,1,-0.010507579231878802,0.18023659762752686,8,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.0467706013363029,0.9433710859427049,22,1,1,1,1,-0.001640343584420101,0.2673546725777207,8,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.0467706013363029,0.938707528314457,0,1,1,1,1,0.04370777878146267,0.3854569474835152,9,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.044543429844097995,0.9480346435709527,3,1,1,1,1,0.04370777878146267,0.3854569474835152,9,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
